month,day,hour,City,Shape,State,Country,Summary,lat,lng
12.0,14.0,6.0,South Burlington,Light,VT,USA,"6am I was taking pictures of the moon. No stars out and a little cloudy. I 
didn't seen anything unusual at all. I looked at photo and i",44.4669941,-73.1709603
12.0,14.0,1.0,Berthoud,Disk,CO,USA,"Large glowing disk in the sky moving slowly westward then suddenly 
disappeared. ((anonymous report))",40.3083174,-105.0810923
12.0,13.0,23.0,Liberty Lake,Triangle,WA,USA,"Standing on my back porch to smoke a cig look up above to see a slow silent 
triangle and immidietly rushed friend to see it go by.",47.6631371,-117.0855724
12.0,13.0,22.0,Chicago,Light,IL,USA,Bright white light moving over Chicago.,41.8755546,-87.6244211
12.0,13.0,22.0,La Jolla,Light,CA,USA,Bright floating white light.,32.8472711,-117.2742085
12.0,13.0,21.0,Fort Lauderdale,Circle,FL,USA,Rapidly moving green light flying south to north at very rapid pace.,26.1254381,-80.1381514
12.0,13.0,21.0,Cedar Rapids,Triangle,IA,USA,"((HOAX??)) WATCHING THE METEOER SHOWER WHEN WE SAW 3 TRIANGLE SHAPED 
OBJECTS THAT WERE IN A TRIANGLE FORMATION FLY BY FAST.",41.9758872,-91.6704052
12.0,13.0,19.0,Panama City,Circle,FL,USA,"Bright, beaming ball. ((anonymous report))",30.165156,-85.6605594
12.0,13.0,19.0,Hale,Light,MI,USA,"I saw orange lights that split into multiple lights while moving in an odd 
patterns unlike conventional a/c.",44.3777947,-83.8047086
12.0,13.0,19.0,Dubuque,Light,IA,USA,"Stopped at the light at the intersection of Highway 20 facing north from 
Cedar Cross Road. An extraordinary fast moving bright white",42.5006217,-90.6647966
12.0,13.0,18.0,St. Johns,Chevron,FL,USA,"We were walking across parking lot to restaurant and paused to take pics of 
full moon...1st pic a selfie, no craft....10ft further stop",29.9032284,-81.4145467
12.0,13.0,5.0,West Des Moines,Light,IA,USA,"Large ball of light falling to earth at a incrediable speed. ((NUFORC Note: 
Possible meteor?? PD))",41.5645337,-93.759528
11.0,30.0,23.0,Edmonds,Changing,WA,USA,Silent curved shape changing object gliding through the sky,47.8105738,-122.3774951
11.0,30.0,21.0,Riverton,Circle,WY,USA,"Seen two circular objects south of residence looked like that were 
communicating with flashing lights for about ten minutes then one to",38.515529,-121.5321489
11.0,30.0,20.0,Radcliff,Triangle,KY,USA,"As I was driving down Deckard School Rd. in Radcliff, KY I seen what looked 
like lights on a tower but realized there was no tow",37.8403456,-85.9491297
11.0,30.0,19.0,Fayetteville,Triangle,TX,USA,"I was just star gazing around seven thirty pm on November 30th. Saw 
something bright orange out of the corner of my eye so I quickly gr",29.9057817,-96.6727527
11.0,29.0,23.0,Belmont,Circle,MI,USA,Ball of light approaching a river that slowed and went out.,40.0057737,-81.0097515
11.0,29.0,22.0,Bridgeport,Oval,WV,USA,"Blinking lights, spinning in a circular rotation.",39.2864787,-80.256198
11.0,29.0,22.0,American Canyon,Triangle,CA,USA,"I observed a large object flying in the night sky. It was loud and flying 
slow, but changed direction.",38.223457,-122.227043
11.0,29.0,22.0,Colorado Springs,Triangle,CO,USA,"((HOAX?)) I saw a big triangle with 3 lights on each side, no light in the 
middle; similar to TR-3B, but w/o lights.((anonyous report))",38.8339578,-104.8253484
11.0,29.0,21.0,Niagara Falls,Circle,ON,CANADA,"Star-like and grey spheroid hover Niagara Falls. ((NUFORC Note: Possible 
sighting of a ""twinkling"" star, we suspect. PD))",43.1089442,-79.0636192
11.0,29.0,20.0,Carlinville,Rectangle,IL,USA,"Was driving in a rural area in Carlinville, IL, when we seen a very huge 
light in the N sky that appeared to have searchlights.",39.2797699,-89.8817661
11.0,29.0,19.0,Fairfield,Changing,CA,USA,"11/29/2016, Fairfield, CA, large floating object moving west to east, early 
evening.",38.2493581,-122.0399662
11.0,29.0,19.0,Corona,Circle,CA,USA,"I was watching television in the house when i was called outside by a 
friend of mine to observe some strange lights.",37.0066161,-121.9969062
11.0,29.0,18.0,Midland,Triangle,MI,USA,"Two bright lights over bay city rd, one came toward us and we could see 
many colors no sound. the other took off ridiculously fast",43.6155825,-84.2472116
11.0,29.0,18.0,Janesville,Other,WI,USA,"((HOAX??)) Crescent shaped craft with seven evenly spaced orange lights in 
the backside. ((anonymous report))",42.7151854,-88.9907742
11.0,29.0,12.0,Plainfield,Changing,IL,USA,"Bright white object hovering Southward over Plainfield, IL.",41.623191,-88.2284325
11.0,29.0,6.0,Happy Valley,Circle,OR,USA,Very large slow moving orb over Portland Area.,43.1358923,-122.3804695
11.0,29.0,0.0,Fishers,Triangle,IN,USA,"I was driving northbound on SR 37 at approximately 12:17am heading out of 
Fishers and into Noblesville when I saw it.The craft was sout",39.9555928,-86.0138728
11.0,28.0,23.0,Sutherlin,Other,OR,USA,"Orange non-blinking tight group of lights flying east from coast then 
turned south and disappeared Have seen several craft of differen",43.3896628,-123.3123597
11.0,28.0,23.0,Tazewell,Circle,VA,USA,"Was walking dog looked up at sky what i thought was a satellite it was 
joined by three more lights. Yellow amber reddish in color. Flyi",37.1236041,-81.5684128
11.0,28.0,22.0,Athol,Light,MA,USA,"2 different lights at the same time, same spot every night,and doesn't 
move. ((NUFORC Note: Celestial body? PD))",42.5959203,-72.2267496
11.0,28.0,19.0,American Canyon,Chevron,CA,USA,"This was a very large objuect in the sky and other autos stopped to check 
it out. I stopped in the middle of the road.",38.223457,-122.227043
11.0,28.0,18.0,Ste. Genevieve,Light,MO,USA,"Bright white light became dim orange/red for brief moment, then bright 
again. ((anonymous report))",37.9814415,-90.0417789
11.0,28.0,18.0,St. Petersburg,Circle,FL,USA,"Same light shape 2 different days same approximate time. ((NUFORC Note: 
Star or planet?? PD))",27.77330515,-82.6469933
11.0,28.0,18.0,Waynesville,Light,MO,USA,"Saw a red orange white light off in the distance. It did not appear to be 
in outer space. It seemed to be hovering in the atmosphere in",37.8286516,-92.2007226
11.0,28.0,18.0,Seekonk,Circle,RI,USA,"White circular shaped object flying about 300 feet, traveling more than 200 
MPH!",41.8674548,-71.3797769
11.0,28.0,17.0,Vineland,Changing,NJ,USA,"Mother noticed a bright light in the sky and drew my attention to it. 
Couldn't tell if it was a star or plane at first but then noticed",39.473152,-75.0020264
11.0,28.0,16.0,Fairfield,Cross,ME,USA,"One light in the center, the brightest then 4 on each side like a plus sign",44.588511,-69.5990749
11.0,28.0,6.0,Athens,Cigar,GA,USA,White flying cigar.,33.94385375,-83.3972898
11.0,28.0,6.0,Centerville,Fireball,IL,USA,"We where just sitting in the car an we seen 2 lights but it looked like car 
lights in the sky so that caught our attention knowing plai",31.2579584,-95.9782919
11.0,28.0,1.0,Mooresville,Light,NC,USA,"2 really bright lights separately lit up my room, each lasting about 2.5 
seconds.",35.5848596,-80.8100723
11.0,27.0,22.0,Carrying Place,Light,ON,CANADA,"White light, maybe elliptical in shape with several coloured pulsating 
lights. ((NUFORC Note: Star?? PD))",43.8088119,-79.2334018
11.0,27.0,19.0,St. Petersburg,Circle,FL,USA,Same light shape 2 different days same approximate time.,27.77330515,-82.6469933
11.0,27.0,16.0,Bay Shore,Light,NY,USA,"Super bright spherical stationary object hovering no sound South Westerly 
L.I., NY at daylight to dusk.",40.7250986,-73.2453945
11.0,27.0,12.0,Longmont,Rectangle,CO,USA,"One rectangular object was in the sky with what appeared to be a small 
plane close to it. ((anonymous report))",40.1672117,-105.1019286
11.0,27.0,12.0,Kenmore,Circle,WA,USA,Bird or UFO?,47.7573202,-122.2440147
11.0,27.0,10.0,Allentown,Fireball,PA,USA,"((HOAX??)) Orange UFO in a swarm in Allentown, PA. ((anonymous report))",40.6022059,-75.4712793
11.0,27.0,3.0,Lake Charles,Light,LA,USA,Was at bridge and green oval orb shot pass me above then disappeared.,30.2265949,-93.2173758
11.0,27.0,0.0,Raymond,Circle,NE,USA,"Bright circular light moving from Raymond to Lincoln in split seconds 
before disappearing.",40.956282,-96.7834109
11.0,26.0,23.0,Bailey,Disk,CO,USA,"I had stepped out on my tiny porch to view the stars as I often do. When I 
looked up in the northwest sky I saw a disk like saucer wit",34.0349194,-102.8149371
11.0,26.0,23.0,Bergen,Triangle,NY,USA,Triangle shaped flying object.,43.085391,-77.9417139
11.0,26.0,23.0,Middletown,Light,NY,USA,distant bright twinking light shifting colors moving/drifting erratically.,41.4459271,-74.422934
11.0,26.0,22.0,Charlotte,Light,NC,USA,White very bright burst of light.,35.2270869,-80.8431267
11.0,26.0,22.0,Davenport,Circle,FL,USA,Slow fireball with no tail floating over Central Florida sky.,28.1614046,-81.6017416
11.0,26.0,21.0,Allen Park,Light,MI,USA,Strange blue pulsing light.,42.2575385,-83.2110374
11.0,26.0,19.0,Naugatuck,Light,CT,USA,"Bright light originally mistaken for a star. Began moving and hovering 
across wooded area for 5 min. ((anonymous report))",41.4860186,-73.0509431
11.0,26.0,19.0,Venice,Light,FL,USA,UFO spotting in Venice lights.,27.0998708,-82.4544131
11.0,26.0,19.0,Fairview,Triangle,OR,USA,"A large craft with 4 solid white lights was flying low across the sky and 
then vanished.",45.5469302,-122.4370392
11.0,26.0,18.0,McDonough,Light,GA,USA,"3 lights in the night sky one was bigger the others were smaller. (no 
sound) when we saw them one of them took of REALLY fast.",33.4473361,-84.1468615
11.0,26.0,18.0,Spearfish,Disk,SD,USA,"""Classic"" saucer.",44.490817,-103.8593699
11.0,26.0,18.0,Shallotte,Changing,NC,USA,Red and green dropping lights.,33.9732275,-78.385837
11.0,26.0,17.0,Brooklyn,Triangle,NY,USA,"I noticed two yellow light which resemble airplane in the sky. ((anonymous 
report))",40.64530975,-73.9550229
11.0,26.0,16.0,McChord AFB,Fireball,WA,USA,"Looked up above my house on jblm, Lewis main. Three balls of red flare 
light hovered over. The Blackhawks were not flying at all at thi",47.1377,-122.4764999
